"","Name","Event","Year","Date","Elo","dElo"
"43351","Chris Dickerson","Pittsburgh Flying Disc Open Presented by Discraft",2017,2017-08-25,1672,14.2
"43363","Andrew Presnell","Pittsburgh Flying Disc Open Presented by Discraft",2017,2017-08-25,1585.1,18.1
"43503","Simon Lizotte","USDGC",2017,2017-10-04,1761,5.1
"43526","Nikko Locastro","USDGC",2017,2017-10-04,1725.7,-9.8
"43551","James Conrad","USDGC",2017,2017-10-04,1674.4,0.7
"43619","Paul McBeth","USDGC",2017,2017-10-04,1847,5.9
"43722","Eagle McMahon","USDGC",2017,2017-10-04,1736.2,5.4
"43726","Richard Wysocki","USDGC",2017,2017-10-04,1824.1,8.2
"43764","Kevin Jones","USDGC",2017,2017-10-04,1569.9,38
"43786","Anthony Barela","USDGC",2017,2017-10-04,1633.1,16
"43845","Chris Clemons","USDGC",2017,2017-10-04,1629.2,21.1
"43939","Adam Hammes","USDGC",2017,2017-10-04,1572.1,27.1
"44003","Chris Dickerson","USDGC",2017,2017-10-04,1687.8,15.8
"44015","Andrew Presnell","USDGC",2017,2017-10-04,1591.3,6.1
"44155","Simon Lizotte","HOFC",2017,2017-10-13,1764.6,3.6
"44178","Nikko Locastro","HOFC",2017,2017-10-13,1724.5,-1.2
"44203","James Conrad","HOFC",2017,2017-10-13,1684.5,10.1
"44271","Paul McBeth","HOFC",2017,2017-10-13,1841,-6
"44378","Richard Wysocki","HOFC",2017,2017-10-13,1827.2,3
"44655","Chris Dickerson","HOFC",2017,2017-10-13,1694.9,7
"44824","Simon Lizotte","LVC",2018,2018-02-22,1744.2,6
"44868","Nikko Locastro","LVC",2018,2018-02-22,1711.8,9.7
"44910","James Conrad","LVC",2018,2018-02-22,1670.6,4.6
"45019","Paul McBeth","LVC",2018,2018-02-22,1801.3,-5.6
"45198","Eagle McMahon","LVC",2018,2018-02-22,1724.5,11.9
"45201","Richard Wysocki","LVC",2018,2018-02-22,1797.8,3.4
"45259","Kevin Jones","LVC",2018,2018-02-22,1583.8,20.9
"45313","Anthony Barela","LVC",2018,2018-02-22,1629.4,9.6
"45423","Chris Clemons","LVC",2018,2018-02-22,1630.1,13.8
"45692","Andrew Presnell","LVC",2018,2018-02-22,1595.9,13.8
"45817","Joel Freeman","LVC",2018,2018-02-22,1602.3,22.8
"46329","Simon Lizotte","Memorial",2018,2018-02-28,1756.3,12.2
"46373","Nikko Locastro","Memorial",2018,2018-02-28,1720.2,8.4
"46415","James Conrad","Memorial",2018,2018-02-28,1683.1,12.5
"46524","Paul McBeth","Memorial",2018,2018-02-28,1804.8,3.5
"46703","Eagle McMahon","Memorial",2018,2018-02-28,1737.1,12.6
"46706","Richard Wysocki","Memorial",2018,2018-02-28,1801.8,4
"46764","Kevin Jones","Memorial",2018,2018-02-28,1601.1,17.3
"46818","Anthony Barela","Memorial",2018,2018-02-28,1647.3,17.9
"46928","Chris Clemons","Memorial",2018,2018-02-28,1640.2,10.2
"46932","Isaac Robinson","Memorial",2018,2018-02-28,1540.3,7.5
"47197","Andrew Presnell","Memorial",2018,2018-02-28,1606.4,10.5
"47322","Joel Freeman","Memorial",2018,2018-02-28,1610.9,8.6
"47834","Simon Lizotte","Waco",2018,2018-03-15,1756.3,18.2
"47878","Nikko Locastro","Waco",2018,2018-03-15,1725.3,5.1
"47920","James Conrad","Waco",2018,2018-03-15,1692.5,9.4
"48029","Paul McBeth","Waco",2018,2018-03-15,1810,5.2
"48211","Richard Wysocki","Waco",2018,2018-03-15,1805.6,3.8
"48269","Kevin Jones","Waco",2018,2018-03-15,1615.3,14.2
"48433","Chris Clemons","Waco",2018,2018-03-15,1651.8,11.6
"48702","Andrew Presnell","Waco",2018,2018-03-15,1621.5,15.1
"48827","Joel Freeman","Waco",2018,2018-03-15,1621.3,10.4
"50930","James Conrad","Jonesboro",2018,2018-04-06,1703.2,10.7
"51039","Paul McBeth","Jonesboro",2018,2018-04-06,1810.9,0.9
"51110","Bradley Williams","Jonesboro",2018,2018-04-06,1680,6.5
"51218","Eagle McMahon","Jonesboro",2018,2018-04-06,1744.8,7.7
"51221","Richard Wysocki","Jonesboro",2018,2018-04-06,1812.7,7.1
"51279","Kevin Jones","Jonesboro",2018,2018-04-06,1628.8,13.5
"51443","Chris Clemons","Jonesboro",2018,2018-04-06,1654.9,3.1
"51680","Chris Dickerson","Jonesboro",2018,2018-04-06,1684.6,9.3
"51712","Andrew Presnell","Jonesboro",2018,2018-04-06,1631,9.5
"51837","Joel Freeman","Jonesboro",2018,2018-04-06,1635.7,14.3
"55359","Simon Lizotte","DDO",2018,2018-04-26,1764.8,8.4
"55403","Nikko Locastro","DDO",2018,2018-04-26,1726.1,0.8
"55445","James Conrad","DDO",2018,2018-04-26,1706.8,3.6
"55554","Paul McBeth","DDO",2018,2018-04-26,1813.3,2.4
"55733","Eagle McMahon","DDO",2018,2018-04-26,1753.6,8.9
"55736","Richard Wysocki","DDO",2018,2018-04-26,1818.2,5.5
"55794","Kevin Jones","DDO",2018,2018-04-26,1643.1,14.3
"55958","Chris Clemons","DDO",2018,2018-04-26,1660.5,5.6
"56195","Chris Dickerson","DDO",2018,2018-04-26,1687.5,2.8
"56227","Andrew Presnell","DDO",2018,2018-04-26,1641.3,10.3
"56352","Joel Freeman","DDO",2018,2018-04-26,1640.8,5.2
"58369","Simon Lizotte","Masters Cup",2018,2018-05-18,1760,-4.8
"58455","James Conrad","Masters Cup",2018,2018-05-18,1701.5,-5.3
"58564","Paul McBeth","Masters Cup",2018,2018-05-18,1810.8,-2.5
"58635","Bradley Williams","Masters Cup",2018,2018-05-18,1687.3,7.3
"58743","Eagle McMahon","Masters Cup",2018,2018-05-18,1753.2,-0.4
"58746","Richard Wysocki","Masters Cup",2018,2018-05-18,1820.4,2.2
"58804","Kevin Jones","Masters Cup",2018,2018-05-18,1651.2,8.1
"59874","Simon Lizotte","San Francisco",2018,2018-05-25,1765.4,5.4
"59960","James Conrad","San Francisco",2018,2018-05-25,1705.8,4.3
"60069","Paul McBeth","San Francisco",2018,2018-05-25,1816.4,5.6
"60140","Bradley Williams","San Francisco",2018,2018-05-25,1694.3,7
"60248","Eagle McMahon","San Francisco",2018,2018-05-25,1760.4,7.2
"60251","Richard Wysocki","San Francisco",2018,2018-05-25,1823.8,3.4
"60309","Kevin Jones","San Francisco",2018,2018-05-25,1659.1,8
"62884","Simon Lizotte","Beaver",2018,2018-06-08,1769.2,3.8
"62970","James Conrad","Beaver",2018,2018-06-08,1711.7,5.9
"63079","Paul McBeth","Beaver",2018,2018-06-08,1810.4,-6
"63150","Bradley Williams","Beaver",2018,2018-06-08,1703.7,9.4
"63258","Eagle McMahon","Beaver",2018,2018-06-08,1769.8,9.4
"63261","Richard Wysocki","Beaver",2018,2018-06-08,1823.3,-0.5
"63319","Kevin Jones","Beaver",2018,2018-06-08,1675.6,16.4
"63373","Anthony Barela","Beaver",2018,2018-06-08,1656.4,9
"63483","Chris Clemons","Beaver",2018,2018-06-08,1656.7,-3.8
"63877","Joel Freeman","Beaver",2018,2018-06-08,1640.3,-0.5
"65894","Simon Lizotte","Sula",2018,2018-06-22,1756.7,-12.5
"67485","James Conrad","Utah",2018,2018-06-22,1716.7,5
"67594","Paul McBeth","Utah",2018,2018-06-22,1807.4,-3
"67665","Bradley Williams","Utah",2018,2018-06-22,1695.2,-8.5
"67773","Eagle McMahon","Utah",2018,2018-06-22,1774.4,4.6
"67776","Richard Wysocki","Utah",2018,2018-06-22,1827,3.8
"67834","Kevin Jones","Utah",2018,2018-06-22,1680.7,5.1
"67888","Anthony Barela","Utah",2018,2018-06-22,1664.2,7.8
"67998","Chris Clemons","Utah",2018,2018-06-22,1659.5,2.8
"68267","Andrew Presnell","Utah",2018,2018-06-22,1649.1,7.8
"68392","Joel Freeman","Utah",2018,2018-06-22,1651.2,10.9
"69281","Richard Wysocki","Skellefteå",2018,2018-07-06,1831.8,4.8
"69673","Väinö Mäkelä","Skellefteå",2018,2018-07-06,1584.6,10.7
"70453","Nikko Locastro","DGLO",2018,2018-07-06,1731.8,5.7
"70495","James Conrad","DGLO",2018,2018-07-06,1722.5,5.8
"70604","Paul McBeth","DGLO",2018,2018-07-06,1813.6,6.2
"70675","Bradley Williams","DGLO",2018,2018-07-06,1693.5,-1.7
"70844","Kevin Jones","DGLO",2018,2018-07-06,1686.3,5.6
"70904","Corey Ellis","DGLO",2018,2018-07-06,1528.6,20.1
"71008","Chris Clemons","DGLO",2018,2018-07-06,1662.6,3.1
"71128","Adam Hammes","DGLO",2018,2018-07-06,1572.7,7.8
"71277","Andrew Presnell","DGLO",2018,2018-07-06,1655.3,6.2
"71515","Andrew Marwede","DGLO",2018,2018-07-06,1541.1,15
"71914","Simon Lizotte","Konopiste",2018,2018-07-12,1765.9,9.2
"72109","Paul McBeth","Konopiste",2018,2018-07-12,1817.2,3.6
"72288","Eagle McMahon","Konopiste",2018,2018-07-12,1783.1,8.7
"72291","Richard Wysocki","Konopiste",2018,2018-07-12,1827.8,-4.1
"72683","Väinö Mäkelä","Konopiste",2018,2018-07-12,1592.4,7.8
"73419","Simon Lizotte","Ale",2018,2018-07-20,1765.6,-0.2
"73796","Richard Wysocki","Ale",2018,2018-07-20,1822.2,-5.6
"74188","Väinö Mäkelä","Ale",2018,2018-07-20,1605.6,13.2
"74968","Nikko Locastro","Idlewild",2018,2018-07-20,1732.8,1
"75010","James Conrad","Idlewild",2018,2018-07-20,1730.5,8
"75119","Paul McBeth","Idlewild",2018,2018-07-20,1821.9,4.7
"75190","Bradley Williams","Idlewild",2018,2018-07-20,1694.5,1
"75359","Kevin Jones","Idlewild",2018,2018-07-20,1694.2,7.8
"75419","Corey Ellis","Idlewild",2018,2018-07-20,1551.9,23.3
"75444","Calvin Heimburg","Idlewild",2018,2018-07-20,1619,15.3
"75523","Chris Clemons","Idlewild",2018,2018-07-20,1665.9,3.3
"75643","Adam Hammes","Idlewild",2018,2018-07-20,1586.1,13.4
"75760","Chris Dickerson","Idlewild",2018,2018-07-20,1695.5,8
"77978","Nikko Locastro","Ledgestone",2018,2018-08-09,1737.3,4.5
"78020","James Conrad","Ledgestone",2018,2018-08-09,1739,8.5
"78027","Matthew Orum","Ledgestone",2018,2018-08-09,1684.3,10.6
"78129","Paul McBeth","Ledgestone",2018,2018-08-09,1824.5,2.6
"78311","Richard Wysocki","Ledgestone",2018,2018-08-09,1826.2,4
"78369","Kevin Jones","Ledgestone",2018,2018-08-09,1706.6,12.4
"78423","Anthony Barela","Ledgestone",2018,2018-08-09,1672.1,7.9
"78429","Corey Ellis","Ledgestone",2018,2018-08-09,1575.5,23.6
"78454","Calvin Heimburg","Ledgestone",2018,2018-08-09,1639.6,20.6
"78533","Chris Clemons","Ledgestone",2018,2018-08-09,1674.5,8.6
"78537","Isaac Robinson","Ledgestone",2018,2018-08-09,1570.7,30.4
"78653","Adam Hammes","Ledgestone",2018,2018-08-09,1591.2,5.1
"78770","Chris Dickerson","Ledgestone",2018,2018-08-09,1709.8,14.4
"78802","Andrew Presnell","Ledgestone",2018,2018-08-09,1666.1,10.8
"78927","Joel Freeman","Ledgestone",2018,2018-08-09,1662.4,11.2
"79040","Andrew Marwede","Ledgestone",2018,2018-08-09,1562.9,21.8
"79439","Simon Lizotte","European Disc Golf Championships",2018,2018-08-15,1773.9,8.3
"80208","Väinö Mäkelä","European Disc Golf Championships",2018,2018-08-15,1622.7,17.1
"80944","Simon Lizotte","MVP",2018,2018-08-24,1778.1,4.2
"80988","Nikko Locastro","MVP",2018,2018-08-24,1741.5,4.1
"81030","James Conrad","MVP",2018,2018-08-24,1747.4,8.4
"81037","Matthew Orum","MVP",2018,2018-08-24,1692,7.6
"81139","Paul McBeth","MVP",2018,2018-08-24,1828.8,4.3
"81318","Eagle McMahon","MVP",2018,2018-08-24,1786,2.8
"81321","Richard Wysocki","MVP",2018,2018-08-24,1825.3,-0.9
"81379","Kevin Jones","MVP",2018,2018-08-24,1711.2,4.7
"81433","Anthony Barela","MVP",2018,2018-08-24,1679.4,7.3
"81464","Calvin Heimburg","MVP",2018,2018-08-24,1654.1,14.5
"81543","Chris Clemons","MVP",2018,2018-08-24,1682,7.5
"81780","Chris Dickerson","MVP",2018,2018-08-24,1715.2,5.4
"81812","Andrew Presnell","MVP",2018,2018-08-24,1669,2.9
"81937","Joel Freeman","MVP",2018,2018-08-24,1670.1,7.7
"83218","Väinö Mäkelä","Nokia",2018,2018-09-05,1633.2,10.5
"83800","Niklas Anttila","Nokia",2018,2018-09-05,1538,17
"83954","Simon Lizotte","World",2018,2018-09-05,1784.5,6.3
"83998","Nikko Locastro","World",2018,2018-09-05,1752.5,11
"84040","James Conrad","World",2018,2018-09-05,1758.9,11.5
"84047","Matthew Orum","World",2018,2018-09-05,1708.1,16.1
"84149","Paul McBeth","World",2018,2018-09-05,1835.1,6.3
"84220","Bradley Williams","World",2018,2018-09-05,1707.6,13.1
"84328","Eagle McMahon","World",2018,2018-09-05,1793.1,7.1
"84331","Richard Wysocki","World",2018,2018-09-05,1831.2,6
"84389","Kevin Jones","World",2018,2018-09-05,1722.8,11.6
"84443","Anthony Barela","World",2018,2018-09-05,1687.9,8.5
"84474","Calvin Heimburg","World",2018,2018-09-05,1671.9,17.8
"84553","Chris Clemons","World",2018,2018-09-05,1697,15
"84673","Adam Hammes","World",2018,2018-09-05,1611.9,20.6
"84790","Chris Dickerson","World",2018,2018-09-05,1727.3,12
"84822","Andrew Presnell","World",2018,2018-09-05,1686.4,17.4
"84947","Joel Freeman","World",2018,2018-09-05,1684.4,14.4
"85545","James Conrad","Delaware",2018,2018-09-14,1760.6,1.7
"85654","Paul McBeth","Delaware",2018,2018-09-14,1843.3,8.2
"85833","Eagle McMahon","Delaware",2018,2018-09-14,1799.4,6.3
"85836","Richard Wysocki","Delaware",2018,2018-09-14,1838.3,7
"85894","Kevin Jones","Delaware",2018,2018-09-14,1724.3,1.5
"85948","Anthony Barela","Delaware",2018,2018-09-14,1696,8.2
"85979","Calvin Heimburg","Delaware",2018,2018-09-14,1681.9,9.9
"86452","Joel Freeman","Delaware",2018,2018-09-14,1691.5,7.1
"86964","Simon Lizotte","USDGC",2018,2018-10-03,1790.1,5.7
"87008","Nikko Locastro","USDGC",2018,2018-10-03,1763.4,10.9
"87050","James Conrad","USDGC",2018,2018-10-03,1774.7,14.1
"87057","Matthew Orum","USDGC",2018,2018-10-03,1722.7,14.6
"87159","Paul McBeth","USDGC",2018,2018-10-03,1852.5,9.2
"87338","Eagle McMahon","USDGC",2018,2018-10-03,1809.7,10.4
"87341","Richard Wysocki","USDGC",2018,2018-10-03,1846.7,8.4
"87399","Kevin Jones","USDGC",2018,2018-10-03,1741.4,17.1
"87453","Anthony Barela","USDGC",2018,2018-10-03,1706.7,10.6
"87484","Calvin Heimburg","USDGC",2018,2018-10-03,1697.6,15.7
"87563","Chris Clemons","USDGC",2018,2018-10-03,1711.2,14.1
"87567","Isaac Robinson","USDGC",2018,2018-10-03,1602.8,32.1
"87683","Adam Hammes","USDGC",2018,2018-10-03,1634.4,22.6
"87800","Chris Dickerson","USDGC",2018,2018-10-03,1742.9,15.7
"87832","Andrew Presnell","USDGC",2018,2018-10-03,1700.6,14.2
"87957","Joel Freeman","USDGC",2018,2018-10-03,1709,17.5
"88469","Simon Lizotte","HOFC",2018,2018-10-12,1787.3,-2.8
"88555","James Conrad","HOFC",2018,2018-10-12,1782.2,7.5
"88664","Paul McBeth","HOFC",2018,2018-10-12,1860.5,8
"88843","Eagle McMahon","HOFC",2018,2018-10-12,1817.4,7.7
"88846","Richard Wysocki","HOFC",2018,2018-10-12,1850.1,3.4
"88904","Kevin Jones","HOFC",2018,2018-10-12,1750.4,9
"88958","Anthony Barela","HOFC",2018,2018-10-12,1711,4.4
"88989","Calvin Heimburg","HOFC",2018,2018-10-12,1704.1,6.5
"89305","Chris Dickerson","HOFC",2018,2018-10-12,1754.3,11.3
"89462","Joel Freeman","HOFC",2018,2018-10-12,1709.7,0.7
"89896","Alden Harris","HOFC",2018,2018-10-12,1507.2,7.2
"89967","Simon Lizotte","LVC",2019,2019-02-21,1766.9,8.3
"89990","Nikko Locastro","LVC",2019,2019-02-21,1742.4,5.3
"90009","James Conrad","LVC",2019,2019-02-21,1751.6,-2.4
"90084","Paul McBeth","LVC",2019,2019-02-21,1820.8,-3.6
"90202","Eagle McMahon","LVC",2019,2019-02-21,1795.5,9.8
"90206","Richard Wysocki","LVC",2019,2019-02-21,1817.5,2.5
"90257","Kevin Jones","LVC",2019,2019-02-21,1737.1,11.8
"90297","Anthony Barela","LVC",2019,2019-02-21,1700.1,10.2
"90301","Corey Ellis","LVC",2019,2019-02-21,1583.2,15.3
"90326","Calvin Heimburg","LVC",2019,2019-02-21,1698.1,14.5
"90378","Chris Clemons","LVC",2019,2019-02-21,1698.2,8.1
"90481","Adam Hammes","LVC",2019,2019-02-21,1630.9,10
"90586","Andrew Presnell","LVC",2019,2019-02-21,1694.6,14.1
"90686","Joel Freeman","LVC",2019,2019-02-21,1696.9,8.1
"90787","Andrew Marwede","LVC",2019,2019-02-21,1575.8,19.2
"91220","Simon Lizotte","Memorial",2019,2019-02-28,1775.9,9.1
"91243","Nikko Locastro","Memorial",2019,2019-02-28,1736.6,-5.8
"91337","Paul McBeth","Memorial",2019,2019-02-28,1826,5.2
"91455","Eagle McMahon","Memorial",2019,2019-02-28,1804.7,9.2
"91459","Richard Wysocki","Memorial",2019,2019-02-28,1823.2,5.7
"91510","Kevin Jones","Memorial",2019,2019-02-28,1739.7,2.5
"91550","Anthony Barela","Memorial",2019,2019-02-28,1708.3,8.2
"91554","Corey Ellis","Memorial",2019,2019-02-28,1587.6,4.4
"91579","Calvin Heimburg","Memorial",2019,2019-02-28,1705.2,7.1
"91631","Chris Clemons","Memorial",2019,2019-02-28,1706.5,8.3
"91734","Adam Hammes","Memorial",2019,2019-02-28,1648.2,17.2
"91839","Andrew Presnell","Memorial",2019,2019-02-28,1701.4,6.8
"91939","Joel Freeman","Memorial",2019,2019-02-28,1700.7,3.8
"92040","Andrew Marwede","Memorial",2019,2019-02-28,1589.4,13.6
"92473","Simon Lizotte","Waco",2019,2019-03-14,1779.8,3.9
"92515","James Conrad","Waco",2019,2019-03-14,1757.6,6
"92524","Matthew Orum","Waco",2019,2019-03-14,1704.2,3.8
"92590","Paul McBeth","Waco",2019,2019-03-14,1832.3,6.2
"92708","Eagle McMahon","Waco",2019,2019-03-14,1808,3.3
"92712","Richard Wysocki","Waco",2019,2019-03-14,1828,4.8
"92763","Kevin Jones","Waco",2019,2019-03-14,1740.6,0.9
"92803","Anthony Barela","Waco",2019,2019-03-14,1692.5,-15.8
"92807","Corey Ellis","Waco",2019,2019-03-14,1587.8,0.2
"92832","Calvin Heimburg","Waco",2019,2019-03-14,1707.5,2.3
"92884","Chris Clemons","Waco",2019,2019-03-14,1708.2,1.7
"92987","Adam Hammes","Waco",2019,2019-03-14,1658.8,10.6
"93092","Andrew Presnell","Waco",2019,2019-03-14,1707.8,6.4
"93192","Joel Freeman","Waco",2019,2019-03-14,1702.3,1.6
"93293","Andrew Marwede","Waco",2019,2019-03-14,1600,10.6
"93726","Simon Lizotte","Jonesboro",2019,2019-04-12,1786.2,6.3
"93768","James Conrad","Jonesboro",2019,2019-04-12,1761.1,3.5
"93777","Matthew Orum","Jonesboro",2019,2019-04-12,1713,8.8
"93843","Paul McBeth","Jonesboro",2019,2019-04-12,1839.3,7.1
"93961","Eagle McMahon","Jonesboro",2019,2019-04-12,1813.8,5.7
"93965","Richard Wysocki","Jonesboro",2019,2019-04-12,1827.9,-0.1
"94016","Kevin Jones","Jonesboro",2019,2019-04-12,1747.2,6.6
"94056","Anthony Barela","Jonesboro",2019,2019-04-12,1694.3,1.8
"94085","Calvin Heimburg","Jonesboro",2019,2019-04-12,1712.6,5
"94137","Chris Clemons","Jonesboro",2019,2019-04-12,1711.4,3.2
"94240","Adam Hammes","Jonesboro",2019,2019-04-12,1668,9.2
"94320","Chris Dickerson","Jonesboro",2019,2019-04-12,1739.3,10.5
"94345","Andrew Presnell","Jonesboro",2019,2019-04-12,1715.5,7.8
"94445","Joel Freeman","Jonesboro",2019,2019-04-12,1707.3,5
"94546","Andrew Marwede","Jonesboro",2019,2019-04-12,1614.8,14.8
"96232","Simon Lizotte","DDO",2019,2019-04-24,1781.9,-4.3
"96274","James Conrad","DDO",2019,2019-04-24,1760.9,-0.1
"96349","Paul McBeth","DDO",2019,2019-04-24,1844.6,5.3
"96467","Eagle McMahon","DDO",2019,2019-04-24,1818.4,4.6
"96471","Richard Wysocki","DDO",2019,2019-04-24,1833.2,5.3
"96522","Kevin Jones","DDO",2019,2019-04-24,1751.9,4.7
"96562","Anthony Barela","DDO",2019,2019-04-24,1709.6,15.3
"96591","Calvin Heimburg","DDO",2019,2019-04-24,1722.9,10.4
"96643","Chris Clemons","DDO",2019,2019-04-24,1712.1,0.7
"96746","Adam Hammes","DDO",2019,2019-04-24,1681.2,13.2
"96826","Chris Dickerson","DDO",2019,2019-04-24,1746.7,7.4
"96851","Andrew Presnell","DDO",2019,2019-04-24,1717.8,2.3
"96951","Joel Freeman","DDO",2019,2019-04-24,1709.8,2.5
"97052","Andrew Marwede","DDO",2019,2019-04-24,1625.6,10.8
"97374","Alden Harris","DDO",2019,2019-04-24,1512.6,6.1
"98738","Simon Lizotte","San Francisco",2019,2019-05-10,1786,4.1
"98761","Nikko Locastro","San Francisco",2019,2019-05-10,1730.4,-6.2
"98780","James Conrad","San Francisco",2019,2019-05-10,1765.2,4.2
"98789","Matthew Orum","San Francisco",2019,2019-05-10,1719.9,6.9
"98855","Paul McBeth","San Francisco",2019,2019-05-10,1848.5,3.9
"98973","Eagle McMahon","San Francisco",2019,2019-05-10,1823.1,4.7
"98977","Richard Wysocki","San Francisco",2019,2019-05-10,1840.1,6.8
"99028","Kevin Jones","San Francisco",2019,2019-05-10,1758,6.1
"99068","Anthony Barela","San Francisco",2019,2019-05-10,1717.6,8
"99097","Calvin Heimburg","San Francisco",2019,2019-05-10,1730.7,7.7
"99149","Chris Clemons","San Francisco",2019,2019-05-10,1714.2,2
"99252","Adam Hammes","San Francisco",2019,2019-05-10,1691.4,10.2
"99357","Andrew Presnell","San Francisco",2019,2019-05-10,1719.6,1.8
"99457","Joel Freeman","San Francisco",2019,2019-05-10,1713.2,3.4
"101061","Niklas Anttila","Helsinki",2019,2019-05-10,1554.6,20.4
"101244","Simon Lizotte","Masters Cup",2019,2019-05-18,1793.4,7.4
"101286","James Conrad","Masters Cup",2019,2019-05-18,1771.2,6.1
"101295","Matthew Orum","Masters Cup",2019,2019-05-18,1726.6,6.7
